year,area,num
201512,서울특별시 종로구,1
201512,서울특별시 종로구,2
201512,서울특별시 종로구,1
201512,서울특별시 종로구,2
201512,서울특별시 종로구,1
201512,서울특별시 종로구,2
201512,서울특별시 종로구,1
201512,서울특별시 종로구,1
201512,서울특별시 종로구,1
201512,서울특별시 종로구,17
201512,서울특별시 종로구,884
201512,서울특별시 종로구,3
201512,서울특별시 종로구,13
201512,서울특별시 종로구,1
201512,서울특별시 종로구,10
201512,서울특별시 종로구,24
201512,서울특별시 종로구,1
201512,서울특별시 종로구,7
201512,서울특별시 종로구,1
201512,서울특별시 종로구,4
201512,서울특별시 종로구,684
201512,서울특별시 종로구,36
201512,서울특별시 종로구,94
201512,서울특별시 종로구,8
201512,서울특별시 종로구,187
201512,서울특별시 종로구,304
201512,서울특별시 종로구,11
201512,서울특별시 종로구,314
201512,서울특별시 종로구,61
201512,서울특별시 종로구,10
201512,서울특별시 종로구,11
201512,서울특별시 종로구,1397
201512,서울특별시 종로구,1500
201512,서울특별시 종로구,2
201512,서울특별시 종로구,1
201512,서울특별시 종로구,60
201512,서울특별시 종로구,2
201512,서울특별시 종로구,343
201512,서울특별시 종로구,32
201512,서울특별시 종로구,4
201512,서울특별시 종로구,5
201512,서울특별시 종로구,1
201512,서울특별시 종로구,103
201512,서울특별시 종로구,539
201512,서울특별시 종로구,2
201512,서울특별시 종로구,6
201512,서울특별시 종로구,1
201512,서울특별시 종로구,233
201512,서울특별시 종로구,1149
201512,서울특별시 종로구,1
201512,서울특별시 종로구,126
201512,서울특별시 종로구,2
201512,서울특별시 종로구,3
201512,서울특별시 종로구,9
201512,서울특별시 종로구,3
201512,서울특별시 종로구,260
201512,서울특별시 종로구,1
201512,서울특별시 종로구,338
201512,서울특별시 종로구,20
201512,서울특별시 종로구,174
201512,서울특별시 종로구,516
201512,서울특별시 종로구,20
201512,서울특별시 종로구,517
201512,서울특별시 종로구,692
201512,서울특별시 종로구,12
201512,서울특별시 종로구,1
201512,서울특별시 종로구,1
201512,서울특별시 중구,2
201512,서울특별시 중구,1
201512,서울특별시 중구,15
201512,서울특별시 중구,1
201512,서울특별시 중구,32
201512,서울특별시 중구,1
201512,서울특별시 중구,1
201512,서울특별시 중구,721
201512,서울특별시 중구,25
201512,서울특별시 중구,476
201512,서울특별시 중구,55
201512,서울특별시 중구,17
201512,서울특별시 중구,95
201512,서울특별시 중구,6
201512,서울특별시 중구,1
201512,서울특별시 중구,31
201512,서울특별시 중구,2
201512,서울특별시 중구,422
201512,서울특별시 중구,1
201512,서울특별시 중구,73
201512,서울특별시 중구,2
201512,서울특별시 중구,321
201512,서울특별시 중구,16
201512,서울특별시 중구,13
201512,서울특별시 중구,4
201512,서울특별시 중구,19
201512,서울특별시 중구,1
201512,서울특별시 중구,1
201512,서울특별시 중구,34
201512,서울특별시 중구,2
201512,서울특별시 중구,23
201512,서울특별시 중구,69
201512,서울특별시 중구,1
201512,서울특별시 중구,30
201512,서울특별시 중구,151
201512,서울특별시 중구,2
201512,서울특별시 중구,41
201512,서울특별시 중구,2
201512,서울특별시 중구,1
201512,서울특별시 중구,47
201512,서울특별시 중구,1
201512,서울특별시 중구,2
201512,서울특별시 중구,2
201512,서울특별시 중구,40
201512,서울특별시 중구,2
201512,서울특별시 중구,34
201512,서울특별시 중구,20
201512,서울특별시 중구,1
201512,서울특별시 중구,541
201512,서울특별시 중구,17
201512,서울특별시 용산구,2
201512,서울특별시 용산구,9
201512,서울특별시 용산구,1
201512,서울특별시 용산구,3
201512,서울특별시 용산구,3
201512,서울특별시 용산구,923
201512,서울특별시 용산구,1
201512,서울특별시 용산구,32
201512,서울특별시 용산구,2
201512,서울특별시 용산구,14
201512,서울특별시 용산구,37
201512,서울특별시 용산구,173
201512,서울특별시 용산구,14
201512,서울특별시 용산구,599
201512,서울특별시 용산구,1
201512,서울특별시 용산구,1
201512,서울특별시 용산구,418
201512,서울특별시 용산구,1
201512,서울특별시 용산구,2
201512,서울특별시 용산구,1
201512,서울특별시 용산구,780
201512,서울특별시 용산구,5
201512,서울특별시 용산구,1083
201512,서울특별시 용산구,9
201512,서울특별시 용산구,632
201512,서울특별시 용산구,20
201512,서울특별시 용산구,1
201512,서울특별시 용산구,68
201512,서울특별시 용산구,1
201512,서울특별시 용산구,1
201512,서울특별시 용산구,3
201512,서울특별시 용산구,32
201512,서울특별시 용산구,93
201512,서울특별시 용산구,4
201512,서울특별시 용산구,68
201512,서울특별시 용산구,2
201512,서울특별시 용산구,64
201512,서울특별시 용산구,51
201512,서울특별시 용산구,673
201512,서울특별시 용산구,193
201512,서울특별시 용산구,22
201512,서울특별시 용산구,37
201512,서울특별시 용산구,82
201512,서울특별시 용산구,1
201512,서울특별시 용산구,3
201512,서울특별시 용산구,3
201512,서울특별시 용산구,2
201512,서울특별시 용산구,1
201512,서울특별시 용산구,18
201512,서울특별시 용산구,549
201512,서울특별시 용산구,17
201512,서울특별시 용산구,141
201512,서울특별시 용산구,9
201512,서울특별시 용산구,2
201512,서울특별시 용산구,2
201512,서울특별시 용산구,7
201512,서울특별시 용산구,35
201512,서울특별시 용산구,712
201512,서울특별시 용산구,662
201512,서울특별시 종로구,26
201512,서울특별시 종로구,3
201512,서울특별시 종로구,8
201512,서울특별시 종로구,1
201512,서울특별시 종로구,5
201512,서울특별시 종로구,1
201512,서울특별시 종로구,8
201512,서울특별시 종로구,2
201512,서울특별시 종로구,3
201512,서울특별시 종로구,2
201512,서울특별시 종로구,49
201512,서울특별시 종로구,1
201512,서울특별시 종로구,1
201512,서울특별시 종로구,1
201512,서울특별시 종로구,37
201512,서울특별시 종로구,4
201512,서울특별시 종로구,1927
201512,서울특별시 종로구,11
201512,서울특별시 용산구,1
201512,서울특별시 용산구,2
201512,서울특별시 성동구,2
201512,서울특별시 성동구,1
201512,서울특별시 성동구,1
201512,서울특별시 성동구,2
201512,서울특별시 성동구,58
201512,서울특별시 성동구,1
201512,서울특별시 성동구,66
201512,서울특별시 성동구,13
201512,서울특별시 성동구,63
201512,서울특별시 성동구,242
201512,서울특별시 성동구,5
201512,서울특별시 성동구,2
201512,서울특별시 성동구,501
201512,서울특별시 성동구,3
201512,서울특별시 성동구,161
201512,서울특별시 종로구,81
201512,서울특별시 종로구,7
201512,서울특별시 종로구,1
201512,서울특별시 종로구,1
