year,Gu,accident,Death,Injury,policestation,policebox,119,illegalparkingsum,park,school,people,children,cars,safety
2022,Gangnam-gu,7,1,6,2,21,6,271,16,32,537817,47889,497866,0.48450877
2021,Gangnam-gu,81,0,95,2,21,6,271,16,33,537338,48096,239643,0.271366205
2020,Gangnam-gu,76,0,94,2,21,6,271,16,33,539538,47830,236216,0.267790541
2022,Gangdong-gu,1,0,1,1,16,6,138,26,29,464027,37634,307218,0.298214321
2021,Gangdong-gu,40,0,47,1,16,6,138,26,29,465097,338369,152178,1
2020,Gangdong-gu,40,0,42,1,16,6,138,26,28,468815,36943,149866,0.166059958
2022,Gangbuk-gu,5,0,5,1,14,4,158,4,14,296934,16861,150268,0.110861858
2021,Gangbuk-gu,25,0,29,1,14,4,158,4,14,300824,17894,75337,0.0516950313
2020,Gangbuk-gu,33,0,43,1,14,4,158,4,14,307537,18948,75679,0.054903578
2022,Gangseo-gu,9,0,10,1,12,6,161,39,36,573711,39636,412164,0.390701287
2021,Gangseo-gu,58,0,71,1,12,6,161,39,35,578426,41267,205058,0.223777915
2020,Gangseo-gu,43,0,50,1,12,6,161,39,35,582804,42446,205054,0.227003299
2022,Gwanak-gu,2,0,2,1,18,4,251,16,22,502628,22096,237494,0.197652715
2021,Gwanak-gu,32,0,39,1,19,4,251,16,22,500336,23614,118082,0.103008316
2020,Gwanak-gu,34,0,41,1,18,4,251,16,22,504140,24935,119393,0.10774164
2022,Gwangjin-gu,3,0,3,1,12,3,106,7,21,350925,21021,195900,0.160098034
2021,Gwangjin-gu,39,0,44,1,12,3,106,7,22,353110,21994,98371,0.082077407
2020,Gwangjin-gu,22,0,25,1,12,3,106,7,22,356191,22820,98883,0.0847562564
2022,Guro-gu,4,0,4,1,17,6,179,19,27,417983,28184,296782,0.263513767
2021,Guro-gu,33,0,36,1,17,6,179,19,26,419984,29113,145874,0.141154249
2020,Guro-gu,32,0,39,1,17,6,179,19,26,426675,30134,145267,0.143471778
2022,Geumcheon-gu,2,0,2,1,12,2,70,17,18,242467,12736,184198,0.127512957
2021,Geumcheon-gu,27,0,49,1,12,2,70,17,18,244901,13375,90169,0.0514656522
2020,Geumcheon-gu,20,0,23,1,12,2,70,17,18,244564,13873,88395,0.0513458562
2022,Nowon-gu,5,0,5,1,16,5,295,5,41,506989,39335,305126,0.301304176
2021,Nowon-gu,55,0,67,1,16,5,295,5,42,514445,41444,152285,0.1806414
2020,Nowon-gu,54,0,67,1,16,5,295,5,42,522225,43204,152729,0.185866606
2022,Dobong-gu,27,0,32,1,9,4,183,33,23,312858,19981,191278,0.153539338
2021,Dobong-gu,20,0,22,1,9,4,183,33,23,318100,21102,95631,0.0774177824
2020,Dobong-gu,19,0,20,1,9,4,183,33,23,323752,22054,95839,0.0802155998
2022,Dongdaemun-gu,5,0,6,1,20,5,115,16,21,354884,20747,199518,0.162377747
2021,Dongdaemun-gu,26,0,29,1,20,5,115,16,21,352592,21186,98466,0.0799406761
2020,Dongdaemun-gu,31,0,33,1,20,5,115,16,21,352570,21661,16895,0.0137102989
2022,Dongjak-gu,35,0,42,1,17,4,126,18,21,390377,24321,211832,0.182491338
